The Old Frontier;Philip Ford;Western;Republic
On the Isle of Samoa;William Berke;Adventure;Columbia
Once a Thief;W. Lee Wilder;Film noir;United Artists
One Too Many;Erle C. Kenton;Drama;Independent
One Way Street;Hugo Fregonese;Film noir;Universal
Operation Haylift;William Berke;Drama;Lippert
Our Very Own;David Miller;Drama;RKO
Outcast of Black Mesa;Ray Nazarro;Western;Columbia
Outlaw Gold;Wallace Fox;Western;Monogram
Outlaws of Texas;Thomas Carr;Western;Monogram
Outrage;Ida Lupino;Film noir;RKO
The Outriders;Roy Rowland;Western;MGM
Outside the Wall;Crane Wilbur;Film noir;Universal
Over the Border;Wallace Fox;Western;Monogram
Paid in Full;William Dieterle;Drama;Paramount
Pagan Love Song;Robert Alton;Musical;MGM
The Palomino;Ray Nazarro;Western;Columbia
Panic in the Streets;Elia Kazan;Film noir;20th Century Fox. Shot in New Orleans
Peggy;Frederick de Cordova;Comedy;Universal
Perfect Strangers;Bretaigne Windust;Drama;Warner Bros.
The Petty Girl;Henry Levin;Romantic comedy;Columbia
Please Believe Me;Norman Taurog;Romantic comedy;MGM
Prehistoric Women;Gregg C. Tallas;Science fiction;Eagle-Lion. Remade in 1967
Pretty Baby;Bretaigne Windust;Comedy;Warner Bros.
Prisoners in Petticoats;Philip Ford;Crime;Republic
Pygmy Island;William Berke;Adventure;Columbia
Quicksand;Irving Pichel;Film noir;United Artists
Radar Secret Service;Sam Newfield;Action;Lippert
Raiders of Tomahawk Creek;Fred F. Sears;Western;Columbia
Redwood Forest Trail;Philip Ford;Western;Republic
The Reformer and the Redhead;Melvin Frank, Norman Panama;Comedy;MGM
Return of the Frontiersman;Richard L. Bare;Western;Warner Bros.
The Return of Jesse James;Arthur Hilton;Western;Lippert
Revenue Agent;Lew Landers;Crime;Columbia
Rider from Tucson;Lesley Selander;Western;RKO
Riding High;Frank Capra;Comedy;MGM. Remake of 1934's Broadway Bill.
Right Cross;John Sturges;Drama;MGM. Marilyn Monroe in small role
